Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
Farmácia Pague Menos,ChIJX3wUSiLdrAcR89Qf-6PZlZE,"Av. Sen. Ruy Carneiro, 198 - Manaíra, João Pessoa",Manaíra Palace Residence,Saúde,pharmacy,farmácia,-7.1105424,-34.825215,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Geniezer Pereira e Cia,ChIJJdoJUCPdrAcRW4MbjqIY4ys,"Av. Esperança, 11 - Manaíra, João Pessoa",Manaíra Palace Residence,Saúde,pharmacy,farmácia,-7.1121668,-34.8287719,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Pague Menos,ChIJH5ewAT3drAcRazCAKCrav_Q,"Av. João Câncio da Silva, 431 - Manaíra, João Pessoa",Manaíra Palace Residence,Saúde,pharmacy,farmácia,-7.110367300000001,-34.8316089,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Drogasil,ChIJpRpuOMXdrAcRkFikj74v08Y,"Av. Sen. Ruy Carneiro, 307 - Tambaú, João Pessoa",Manaíra Palace Residence,Saúde,pharmacy,farmácia,-7.1117764,-34.82696019999999,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Homeovitae,ChIJhxvzsSPdrAcRG7mGRLVwMmE,"Av. Sen. Ruy Carneiro, 225 - 104 - Tambaú, João Pessoa",Manaíra Palace Residence,Saúde,pharmacy,farmácia,-7.110900399999999,-34.8253865,"['drugstore', 'pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Escola Municipal Seráfico da Nobrega,ChIJN_lkeDHdrAcRI4RsQVxwST0,"Rua Ubirajara Targino Botto, 36 - Manaíra, João Pessoa",Manaíra Palace Residence,Educação,school,escola,-7.1108021,-34.8280708,"['school', 'point_of_interest', 'establishment']"
Geo Tambaú High School,ChIJw4iA6jfdrAcRlaX6NuDqzTA,"Av. Sen. Ruy Carneiro, 500 - Manaíra, João Pessoa",Manaíra Palace Residence,Educação,school,escola,-7.1116786,-34.8276436,"['primary_school', 'school', 'point_of_interest', 'establishment']"
Escola da Felicidade,ChIJEXDz0oPdrAcRotuPIBE3Ct8,"Av. Eutiquiano Barreto, 274 - Manaíra, João Pessoa",Manaíra Palace Residence,Educação,school,escola,-7.1038608,-34.8332293,"['school', 'point_of_interest', 'establishment']"
"Colégio 1º Mundo em novo endereço: Av. Argemiro de Figueiredo, 3047",ChIJWVFHMT3drAcRvMPyk-lBDs4,"R. Franca Filho, 409 - Manaíra, João Pessoa",Manaíra Palace Residence,Educação,school,escola,-7.1096387,-34.8296557,"['school', 'point_of_interest', 'establishment']"
Saberes - Reforço Escolar,ChIJbW4iaCPdrAcRmAlkHcYV2dU,"Ed. Kairós - Av. Sen. Ruy Carneiro, 525 - Sala 207 - Tambaú, João Pessoa",Manaíra Palace Residence,Educação,school,escola,-7.112183399999999,-34.8278789,"['primary_school', 'school', 'point_of_interest', 'establishment']"
